"metodo","objetivo","restringido","efectos_fijos","parámetros","valores","etiquetas"
"L-BFGS-B",2117.39214604557,"Sin Restricciones","Sin Efectos Fijos","alpha",0.0994174236381609,"alpha"
"L-BFGS-B",2117.39214604557,"Sin Restricciones","Sin Efectos Fijos","beta",-0.877227780001348,"beta"
"L-BFGS-B",2117.39214604557,"Sin Restricciones","Sin Efectos Fijos","sigma_B",-13.8413635616516,"sigma[B]"
"L-BFGS-B",2117.39214604557,"Sin Restricciones","Sin Efectos Fijos","sigma_I",-0.0876185539815883,"sigma[I]"
"L-BFGS-B",3010.653,"Restringido","Sin Efectos Fijos","alpha",-57.88142,"alpha"
"L-BFGS-B",3010.653,"Restringido","Sin Efectos Fijos","beta",-0.1188377,"beta"
"L-BFGS-B",3010.653,"Restringido","Sin Efectos Fijos","sigma_B",-4.905185,"sigma[B]"
"L-BFGS-B",3010.653,"Restringido","Sin Efectos Fijos","sigma_I",5.256844,"sigma[I]"
"nlminb",8396.72899791697,"Sin Restricciones","Sin Efectos Fijos","alpha",-1.50001977722045,"alpha"
"nlminb",8396.72899791697,"Sin Restricciones","Sin Efectos Fijos","beta",-0.431030762807565,"beta"
"nlminb",8396.72899791697,"Sin Restricciones","Sin Efectos Fijos","sigma_B",0.1,"sigma[B]"
"nlminb",8396.72899791697,"Sin Restricciones","Sin Efectos Fijos","sigma_I",0.1,"sigma[I]"
"nlminb",8396.72899791697,"Restringido","Sin Efectos Fijos","alpha",-1.50001977722045,"alpha"
"nlminb",8396.72899791697,"Restringido","Sin Efectos Fijos","beta",-0.431030762807565,"beta"
"nlminb",8396.72899791697,"Restringido","Sin Efectos Fijos","sigma_B",0.1,"sigma[B]"
"nlminb",8396.72899791697,"Restringido","Sin Efectos Fijos","sigma_I",0.1,"sigma[I]"
"L-BFGS-B",3409.981,"Sin Restricciones","Con Efectos Fijos","alpha",70.36094,"alpha"
"L-BFGS-B",3409.981,"Sin Restricciones","Con Efectos Fijos","beta_1",-0.0680253,"beta[1]"
"L-BFGS-B",3409.981,"Sin Restricciones","Con Efectos Fijos","beta_2",1.652551,"beta[2]"
"L-BFGS-B",3409.981,"Sin Restricciones","Con Efectos Fijos","beta_3",0.1115201,"beta[3]"
"L-BFGS-B",3409.981,"Sin Restricciones","Con Efectos Fijos","beta_4",-0.3359819,"beta[4]"
"L-BFGS-B",3409.981,"Sin Restricciones","Con Efectos Fijos","sigma_B",-7.887592,"sigma[B]"
"L-BFGS-B",3409.981,"Sin Restricciones","Con Efectos Fijos","sigma_I",-6.532574,"sigma[I]"
"nlminb",10542.3362665459,"Sin Restricciones","Con Efectos Fijos","alpha",-1.51174092031894,"alpha"
"nlminb",10542.3362665459,"Sin Restricciones","Con Efectos Fijos","beta_1",0.0845955841264787,"beta[1]"
"nlminb",10542.3362665459,"Sin Restricciones","Con Efectos Fijos","beta_2",0.752419988608965,"beta[2]"
"nlminb",10542.3362665459,"Sin Restricciones","Con Efectos Fijos","beta_3",0.0351814442534604,"beta[3]"
"nlminb",10542.3362665459,"Sin Restricciones","Con Efectos Fijos","beta_4",-1.15961539455981,"beta[4]"
"nlminb",10542.3362665459,"Sin Restricciones","Con Efectos Fijos","sigma_B",0.1,"sigma[B]"
"nlminb",10542.3362665459,"Sin Restricciones","Con Efectos Fijos","sigma_I",0.1,"sigma[I]"
"nlminb",10542.3362665614,"Restringido","Con Efectos Fijos","alpha",-1.51174118430284,"alpha"
"nlminb",10542.3362665614,"Restringido","Con Efectos Fijos","beta_1",0.0845961453688922,"beta[1]"
"nlminb",10542.3362665614,"Restringido","Con Efectos Fijos","beta_2",0.752420697595037,"beta[2]"
"nlminb",10542.3362665614,"Restringido","Con Efectos Fijos","beta_3",0.03518295990644,"beta[3]"
"nlminb",10542.3362665614,"Restringido","Con Efectos Fijos","beta_4",-1.15961453985245,"beta[4]"
"nlminb",10542.3362665614,"Restringido","Con Efectos Fijos","sigma_B",0.1,"sigma[B]"
"nlminb",10542.3362665614,"Restringido","Con Efectos Fijos","sigma_I",0.1,"sigma[I]"
"L-BFGS-B",10544.0368278631,"Restringido","Con Efectos Fijos","alpha",-0.423232773978885,"alpha"
"L-BFGS-B",10544.0368278631,"Restringido","Con Efectos Fijos","beta_1",0.0862536917688002,"beta[1]"
"L-BFGS-B",10544.0368278631,"Restringido","Con Efectos Fijos","beta_2",0.761648953019153,"beta[2]"
"L-BFGS-B",10544.0368278631,"Restringido","Con Efectos Fijos","beta_3",0.045872054080762,"beta[3]"
"L-BFGS-B",10544.0368278631,"Restringido","Con Efectos Fijos","beta_4",-1.15181839888571,"beta[4]"
"L-BFGS-B",10544.0368278631,"Restringido","Con Efectos Fijos","sigma_B",0.130767545351179,"sigma[B]"
"L-BFGS-B",10544.0368278631,"Restringido","Con Efectos Fijos","sigma_I",0,"sigma[I]"
